"Code","CCG_code","CCG","items","quantity","actual_cost","BNF_chapter","BNF Chapter Code","BNF_section","item_label","Year","label"
"0101","09G","NHS Coastal West Sussex CCG",35314,16249677,237180.38232,"Gastro-Intestinal System","01","Dyspep&Gastro-Oesophageal Reflux Disease","Dyspep&Gastro-Oesophageal Reflux Disease
35,314","2018","Gastro-Intestinal System.Dyspep&Gastro-Oesophageal Reflux Disease"
"0101","09H","NHS Crawley CCG",8226,3561312,55038.7169,"Gastro-Intestinal System","01","Dyspep&Gastro-Oesophageal Reflux Disease","Dyspep&Gastro-Oesophageal Reflux Disease
8,226","2018","Gastro-Intestinal System.Dyspep&Gastro-Oesophageal Reflux Disease"
"0101","09X","NHS Horsham And Mid Sussex CCG",12929,6191325,90202.23843,"Gastro-Intestinal System","01","Dyspep&Gastro-Oesophageal Reflux Disease","Dyspep&Gastro-Oesophageal Reflux Disease
12,929","2018","Gastro-Intestinal System.Dyspep&Gastro-Oesophageal Reflux Disease"
"0102","09G","NHS Coastal West Sussex CCG",35952,3193481,531235.59959,"Gastro-Intestinal System","01","Antispasmod.&Other Drgs Alt.Gut Motility","Antispasmod.&Other Drgs Alt.Gut Motility
35,952","2018","Gastro-Intestinal System.Antispasmod.&Other Drgs Alt.Gut Motility"
"0102","09H","NHS Crawley CCG",7642,652842,94469.53437,"Gastro-Intestinal System","01","Antispasmod.&Other Drgs Alt.Gut Motility","Antispasmod.&Other Drgs Alt.Gut Motility
7,642","2018","Gastro-Intestinal System.Antispasmod.&Other Drgs Alt.Gut Motility"
"0102","09X","NHS Horsham And Mid Sussex CCG",9441,1063835,223611.81156,"Gastro-Intestinal System","01","Antispasmod.&Other Drgs Alt.Gut Motility","Antispasmod.&Other Drgs Alt.Gut Motility
9,441","2018","Gastro-Intestinal System.Antispasmod.&Other Drgs Alt.Gut Motility"
"0103","09G","NHS Coastal West Sussex CCG",641717,27225758,1050907.43143,"Gastro-Intestinal System","01","Antisecretory Drugs+Mucosal Protectants","Antisecretory Drugs+Mucosal Protectants
641,717","2018","Gastro-Intestinal System.Antisecretory Drugs+Mucosal Protectants"
"0103","09H","NHS Crawley CCG",127276,5037870,219128.03294,"Gastro-Intestinal System","01","Antisecretory Drugs+Mucosal Protectants","Antisecretory Drugs+Mucosal Protectants
127,276","2018","Gastro-Intestinal System.Antisecretory Drugs+Mucosal Protectants"
"0103","09X","NHS Horsham And Mid Sussex CCG",187953,9659979,390078.99507,"Gastro-Intestinal System","01","Antisecretory Drugs+Mucosal Protectants","Antisecretory Drugs+Mucosal Protectants
187,953","2018","Gastro-Intestinal System.Antisecretory Drugs+Mucosal Protectants"
"0104","09G","NHS Coastal West Sussex CCG",17159,1351439,46705.41027,"Gastro-Intestinal System","01","Acute Diarrhoea","Acute Diarrhoea
17,159","2018","Gastro-Intestinal System.Acute Diarrhoea"
