"Area","BNF_Section","BNF_Section_Code","BNF_Chapter","BNF_Chapter_Code","items","actual_cost","item_label"
"NHS Coastal West Sussex CCG","Absorbent Cottons","2001","Dressings","20",19,109.82,"Absorbent Cottons
19"
"NHS Coastal West Sussex CCG","Acids","1906","Other Drugs and Preparations","19",74,298.01,"Acids
74"
"NHS Coastal West Sussex CCG","Acne and Rosacea","1306","Skin","13",12873,189448.86,"Acne and Rosacea
12,873"
"NHS Coastal West Sussex CCG","Acute Diarrhoea","0104","Gastro-Intestinal System","01",17159,46705.43,"Acute Diarrhoea
17,159"
"NHS Coastal West Sussex CCG","Adhesive (Pastes/Sprays/Solutions)","2310","Stoma Appliances","23",12,488.28,"Adhesive (Pastes/Sprays/Solutions)
12"
"NHS Coastal West Sussex CCG","Adhesive Discs/Rings/Pads/Plasters","2305","Stoma Appliances","23",2422,95830.31,"Adhesive Discs/Rings/Pads/Plasters
2,422"
"NHS Coastal West Sussex CCG","Adhesive Dressing Remover Ster Silicone","2136","Appliances","21",88,2448.51,"Adhesive Dressing Remover Ster Silicone
88"
"NHS Coastal West Sussex CCG","Adhesive Removers (Sprays/Liquids/Wipes)","2315","Stoma Appliances","23",9418,195682.14,"Adhesive Removers (Sprays/Liquids/Wipes)
9,418"
"NHS Coastal West Sussex CCG","Anaemias + Other Blood Disorders","0901","Nutrition and Blood","09",160165,279184.21,"Anaemias + Other Blood Disorders
160,165"
"NHS Coastal West Sussex CCG","Anal Irrigation System","2128","Appliances","21",915,150920.88,"Anal Irrigation System
915"
"NHS Coastal West Sussex CCG","Anal Plugs","2202","Incontinence Appliances","22",67,4590.65,"Anal Plugs
67"
"NHS Coastal West Sussex CCG","Analgesics","0407","Central Nervous System","04",528055,4467767.46,"Analgesics
528,055"
"NHS Coastal West Sussex CCG","Anthelmintics","0505","Infections","05",955,1959.71,"Anthelmintics
955"
"NHS Coastal West Sussex CCG","Anti-Arrhythmic Drugs","0203","Cardiovascular System","02",12743,129771.47,"Anti-Arrhythmic Drugs
12,743"
"NHS Coastal West Sussex CCG","Anti-Infective Eye Preparations","1103","Eye","11",14782,84106.19,"Anti-Infective Eye Preparations
14,782"
"NHS Coastal West Sussex CCG","Anti-Infective Skin Preparations","1310","Skin","13",32865,125418.07,"Anti-Infective Skin Preparations
32,865"
"NHS Coastal West Sussex CCG","Antibacterial Drugs","0501","Infections","05",292565,1177185.92,"Antibacterial Drugs
292,565"
"NHS Coastal West Sussex CCG","Anticoagulants And Protamine","0208","Cardiovascular System","02",224789,6116502.92,"Anticoagulants And Protamine
224,789"
"NHS Coastal West Sussex CCG","Antidepressant Drugs","0403","Central Nervous System","04",652726,1990420.34,"Antidepressant Drugs
652,726"
"NHS Coastal West Sussex CCG","Antiepileptic Drugs","0408","Central Nervous System","04",228383,2779133.96,"Antiepileptic Drugs
228,383"
"NHS Coastal West Sussex CCG","Antifibrinolytic Drugs & Haemostatics","0211","Cardiovascular System","02",3117,39275.83,"Antifibrinolytic Drugs & Haemostatics
3,117"
"NHS Coastal West Sussex CCG","Antifungal Drugs","0502","Infections","05",13870,77129.17,"Antifungal Drugs
13,870"
"NHS Coastal West Sussex CCG","Antihistamines, Hyposensitisations & Allergic Emergencies","0304","Respiratory System","03",115781,476952.31,"Antihistamines, Hyposensitisations & Allergic Emergencies
115,781"
"NHS Coastal West Sussex CCG","Antiperspirants","1312","Skin","13",350,1361.14,"Antiperspirants
350"
"NHS Coastal West Sussex CCG","Antiplatelet Drugs","0209","Cardiovascular System","02",317851,624970.84,"Antiplatelet Drugs
317,851"
"NHS Coastal West Sussex CCG","Antiprotozoal Drugs","0504","Infections","05",32572,67046.54,"Antiprotozoal Drugs
32,572"
"NHS Coastal West Sussex CCG","Antisecretory Drugs & Mucosal Protectants","0103","Gastro-Intestinal System","01",641717,1050906.77,"Antisecretory Drugs & Mucosal Protectants
641,717"
"NHS Coastal West Sussex CCG","Antispasmodics & Other drugs altering Gut Motility","0102","Gastro-Intestinal System","01",35952,531235.15,"Antispasmodics & Other drugs altering Gut Motility
35,952"
"NHS Coastal West Sussex CCG","Antiviral Drugs","0503","Infections","05",11928,110136.5,"Antiviral Drugs
11,928"
"NHS Coastal West Sussex CCG","Arm Sling/Bandages","2002","Dressings","20",15886,351598.15,"Arm Sling/Bandages
15,886"
"NHS Coastal West Sussex CCG","Aromatic Inhalations","0308","Respiratory System","03",22,46.71,"Aromatic Inhalations
22"
"NHS Coastal West Sussex CCG","Bacterial Decolonisation Products","2140","Appliances","21",1,4.82,"Bacterial Decolonisation Products
1"
"NHS Coastal West Sussex CCG","Bag Closures","2320","Stoma Appliances","23",43,391.38,"Bag Closures
43"
"NHS Coastal West Sussex CCG","Bag Covers","2325","Stoma Appliances","23",90,3091.12,"Bag Covers
90"
"NHS Coastal West Sussex CCG","Base/Dil/Susp Agents/Stabilisers","1907","Other Drugs and Preparations","19",5014,151568.86,"Base/Dil/Susp Agents/Stabilisers
5,014"
"NHS Coastal West Sussex CCG","Belts","2330","Stoma Appliances","23",871,31514.96,"Belts
871"
"NHS Coastal West Sussex CCG","Beta-Adrenoceptor Blocking Drugs","0204","Cardiovascular System","02",378500,618655.84,"Beta-Adrenoceptor Blocking Drugs
378,500"
"NHS Coastal West Sussex CCG","Bronchodilators","0301","Respiratory System","03",252358,2876936.87,"Bronchodilators
252,358"
"NHS Coastal West Sussex CCG","Catheter Maintenance Products","2113","Appliances","21",1299,39279.79,"Catheter Maintenance Products
1,299"
"NHS Coastal West Sussex CCG","Catheter Valves","2205","Incontinence Appliances","22",1469,28385.56,"Catheter Valves
1,469"
"NHS Coastal West Sussex CCG","Catheters","2102","Appliances","21",12681,1372896.86,"Catheters
12,681"
"NHS Coastal West Sussex CCG","Chiropody Appliances","2103","Appliances","21",16,79.39,"Chiropody Appliances
16"
"NHS Coastal West Sussex CCG","Chronic Bowel Disorders","0105","Gastro-Intestinal System","01",24582,1205653.08,"Chronic Bowel Disorders
24,582"
"NHS Coastal West Sussex CCG","CNS Stimulants and drugs used for ADHD","0404","Central Nervous System","04",11501,440205.53,"CNS Stimulants and drugs used for ADHD
11,501"
