"date","Month_Year","Year","BNF_Section","BNF_Section_Code","items","actual_cost","BNF_Chapter","BNF_Chapter_Code","Area"
2018-04-01,"April-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2979,19837.07,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",3005,19420.17,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2828,22103.06,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2709,16585.73,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2883,20083.22,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2751,19467.96,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2997,18899.56,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2943,19599.12,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2976,18316.81,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2884,19105.05,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2723,19878.49,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Dyspepsia & Gastro-Oesophageal Reflux Disease","0101",2868,17670.31,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",2970,35726.73,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
